name,category,description,coordinates,address,opening_hours
聚贤楼5号,宿舍,供学生住宿，有合理布局和生活设施配置，23点门禁、早六点半开门,"{""lat"": 23.5530, ""lng"": 113.7530}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼6号,宿舍,学生住宿场所，提供住宿床位及基本生活条件，23点门禁、早六点半开门,"{""lat"": 23.5525, ""lng"": 113.7525}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼7号,宿舍,用于学生住宿，内部生活设施齐全，满足居住需求，23点门禁、早六点半开门,"{""lat"": 23.5520, ""lng"": 113.7520}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼8号,宿舍,学生居住的宿舍楼，有住宿床位和配套生活设施，23点门禁、早六点半开门,"{""lat"": 23.5515, ""lng"": 113.7515}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼9号,宿舍,为学生提供住宿空间，设施完善，保障居住生活，23点门禁、早六点半开门,"{""lat"": 23.5510, ""lng"": 113.7510}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼10号,宿舍,学生住宿区域，具备基本生活设施，方便日常起居，23点门禁、早六点半开门,"{""lat"": 23.5505, ""lng"": 113.7505}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼11号,宿舍,学生宿舍楼，提供住宿床位与生活设施，满足需求，23点门禁、早六点半开门,"{""lat"": 23.5500, ""lng"": 113.7500}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼12号,宿舍,供学生住宿，有合理住宿布局和生活设施，23点门禁、早六点半开门,"{""lat"": 23.5495, ""lng"": 113.7495}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼13号,宿舍,学生住宿场所，具备基本生活条件，保障居住，23点门禁、早六点半开门,"{""lat"": 23.5490, ""lng"": 113.7490}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼15号,宿舍,用于学生住宿，内部生活设施齐全，满足居住需求，23点门禁、早六点半开门,"{""lat"": 23.5485, ""lng"": 113.7485}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼16号,宿舍,学生居住的宿舍楼，有住宿床位和配套生活设施，23点门禁、早六点半开门,"{""lat"": 23.5480, ""lng"": 113.7480}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼17号 - 南楼,宿舍,学生住宿的楼栋，为南区学生提供住宿，有相应设施，23点门禁、早六点半开门,"{""lat"": 23.5475, ""lng"": 113.7475}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼17号 - 北楼,宿舍,学生住宿区域，属于聚贤楼17号的北部分，满足住宿需求，23点门禁、早六点半开门,"{""lat"": 23.5470, ""lng"": 113.7470}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
1号行政楼,行政办公,学校行政事务处理场所，开展行政管理、办公等工作,"{""lat"": 23.5465, ""lng"": 113.7465}",校园相应区域,8:00 - 17:30（工作日 ）
2号行政楼,行政办公,承担学校部分行政职能，协同开展校务管理等工作,"{""lat"": 23.5460, ""lng"": 113.7460}",校园相应区域,8:00 - 17:30（工作日 ）
中区食堂,食堂,服务校园中区师生，提供多样化餐饮，涵盖早中晚餐等,"{""lat"": 23.5455, ""lng"": 113.7455}",校园中区,6:30 - 20:30 
中区食堂,食堂,为中区师生供应餐饮，有多种菜品选择，满足用餐需求,"{""lat"": 23.5450, ""lng"": 113.7450}",校园中区,6:30 - 20:30 
1号教学楼,教学楼,开展教学活动，有多个教室与实验室，满足课程教学、实践需求,"{""lat"": 23.5445, ""lng"": 113.7445}",校园相应区域,7:00 - 22:00 
2号教学楼,教学楼,用于各类课程教学，配备教室、教学设备，支持教学工作开展,"{""lat"": 23.5440, ""lng"": 113.7440}",校园相应区域,7:00 - 22:00 
3号教学楼,教学楼,承担教学任务，有不同功能教室，助力知识传授与学习,"{""lat"": 23.5435, ""lng"": 113.7435}",校园相应区域,7:00 - 22:00 
4号教学楼,教学楼,开展教学活动，具备教学、实验等空间，服务教学需求,"{""lat"": 23.5430, ""lng"": 113.7430}",校园相应区域,7:00 - 22:00 
5号教学楼,教学楼,为教学提供场所，有教室、辅助教学设施，保障教学进行,"{""lat"": 23.5425, ""lng"": 113.7425}",校园相应区域,7:00 - 22:00 
6号教学楼,教学楼,用于课程教学，配备教学设备，满足不同学科教学要求,"{""lat"": 23.5420, ""lng"": 113.7420}",校园相应区域,7:00 - 22:00 
7号教学楼,教学楼,开展教学工作，有多样教室布局，适配各类教学场景,"{""lat"": 23.5415, ""lng"": 113.7415}",校园相应区域,7:00 - 22:00 
8号教学楼,教学楼,承担教学任务，具备教学、研讨等空间，促进教学互动,"{""lat"": 23.5410, ""lng"": 113.7410}",校园相应区域,7:00 - 22:00 
9号教学楼,教学楼,为教学活动提供场地，有教室及相关教学资源，支持教学开展,"{""lat"": 23.5405, ""lng"": 113.7405}",校园相应区域,7:00 - 22:00 
10号教学楼,教学楼,用于课程教学，配备完善教学设施，满足教学需求,"{""lat"": 23.5400, ""lng"": 113.7400}",校园相应区域,7:00 - 22:00 
11号教学楼,教学楼,开展教学工作，有不同功能教室，助力知识传授与实践,"{""lat"": 23.5395, ""lng"": 113.7395}",校园相应区域,7:00 - 22:00 
1号实验楼,实验楼,进行专业实验教学，配备各类实验设备，满足实验课程需求,"{""lat"": 23.5390, ""lng"": 113.7390}",校园相应区域,7:00 - 22:00（依实验课程调整 ）
2号实验楼,实验楼,开展各类专业实验，有对应实验仪器与操作空间，服务实验教学,"{""lat"": 23.5385, ""lng"": 113.7385}",校园相应区域,7:00 - 22:00（依实验课程调整 ）
3号实验楼,实验楼,为实验教学提供场地，配备实验设备，满足不同学科实验需求,"{""lat"": 23.5380, ""lng"": 113.7380}",校园相应区域,7:00 - 22:00（依实验课程调整 ）
4号实验楼,实验楼,进行专业实验操作，有完善实验设施，助力学生实践学习,"{""lat"": 23.5375, ""lng"": 113.7375}",校园相应区域,7:00 - 22:00（依实验课程调整 ）
图书馆,图书馆,学校核心文献资源中心，藏有各类图书、期刊等，提供阅读、借阅及学习研讨空间,"{""lat"": 23.5370, ""lng"": 113.7370}",校园中心区域,8:00 - 22:00 
学术交流中心,交流场所,举办学术研讨、讲座、交流会议等活动，促进学术思想碰撞,"{""lat"": 23.5365, ""lng"": 113.7365}",校园相应区域,依活动安排开放 
商业中心,商业区域,设有超市、商铺等，满足师生日常购物、消费、生活服务需求,"{""lat"": 23.5360, ""lng"": 113.7360}",校园相应区域,7:00 - 22:00（依商户实际调整 ）
学生活动中心,活动场地,开展社团活动、文艺演出、学生集会等，丰富校园文化生活,"{""lat"": 23.5355, ""lng"": 113.7355}",校园相应区域,依活动安排开放 
铜像广场,广场,校园文化地标区域，可举办小型活动、供师生休闲交流，兼具景观功能,"{""lat"": 23.5350, ""lng"": 113.7350}",校园中心区域,24小时开放 
南门,出入口,校园南侧主要通行出入口，方便师生进出校园，连接外部交通,"{""lat"": 23.5345, ""lng"": 113.7345}",校园南侧,24小时开放（依学校门禁实际调整 ）
北门,出入口,校园北侧通行出入口，承担人员、车辆进出功能，衔接校园内外,"{""lat"": 23.5340, ""lng"": 113.7340}",校园北侧,24小时开放（依学校门禁实际调整 ）
车站,交通设施,提供校园巴士、外部接驳车等停靠服务，方便师生出行换乘,"{""lat"": 23.5335, ""lng"": 113.7335}",校园相应区域,依班车运营时间开放 
新建专家楼,住宿（专家用 ）,为来访专家、学者提供住宿，配套舒适生活设施，保障工作交流期间居住,"{""lat"": 23.5330, ""lng"": 113.7330}",校园相应区域,24小时开放（住宿使用 ）
专家楼,住宿（专家用 ）,供专家、客座教授等短期停留住宿，设施完备，满足基本生活与工作需求,"{""lat"": 23.5325, ""lng"": 113.7325}",校园相应区域,24小时开放（住宿使用 ）
音乐楼,教学楼（音乐类 ）,开展音乐专业教学、艺术实践，有琴房、排练厅、音乐教室等，配备专业音乐设备,"{""lat"": 23.5320, ""lng"": 113.7320}",校园南区,7:00 - 22:00（依课程、排练等安排调整 ）
西区食堂,食堂,服务校园西区师生，提供早中晚餐及特色餐饮，满足多样化口味需求,"{""lat"": 23.5315, ""lng"": 113.7315}",校园西区,6:30 - 20:30 
西区田径场,运动场地,用于田径运动训练、赛事举办，配备标准跑道、田径设施，满足体育教学与锻炼,"{""lat"": 23.5310, ""lng"": 113.7310}",校园西区,6:00 - 22:00（依使用需求调整 ）
西区体育馆,体育场馆,可开展篮球、羽毛球、体操等体育活动，举办体育赛事，有专业运动场地与设施,"{""lat"": 23.5305, ""lng"": 113.7305}",校园西区,依体育活动安排开放（如课程、赛事期间 ）
西区公园,休闲区域,设有绿化景观、休闲步道、休憩座椅等，供师生休闲散步、放松身心,"{""lat"": 23.5300, ""lng"": 113.7300}",校园西区,24小时开放 
游泳池,运动场地（游泳 ）,夏季开放，提供游泳教学、训练及休闲游泳场地，配备救生设施保障安全,"{""lat"": 23.5295, ""lng"": 113.7295}",校园西区,通常6 - 9月开放（具体依学校安排，开放时段内如 9:00 - 21:00 等 ） 
西学楼1号,宿舍,学生住宿楼栋，提供住宿床位与基本生活设施，23点门禁、早六点半开门，保障居住秩序,"{""lat"": 23.5290, ""lng"": 113.7290}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
西学楼2号,宿舍,为学生提供住宿空间，满足居住需求，设施齐全，23点门禁、早六点半开门,"{""lat"": 23.5285, ""lng"": 113.7285}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
西学楼3号,宿舍,学生住宿区域，有合理住宿布局与生活设施，23点门禁、早六点半开门,"{""lat"": 23.5280, ""lng"": 113.7280}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
西学楼4号,宿舍,学生宿舍楼，具备住宿所需设施，方便学生日常，23点门禁、早六点半开门,"{""lat"": 23.5275, ""lng"": 113.7275}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
西学楼5号,宿舍,供学生住宿，满足基本居住需求，设施完善，23点门禁、早六点半开门,"{""lat"": 23.5270, ""lng"": 113.7270}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
西学楼6号,宿舍,学生住宿场所，提供住宿床位及生活配套，23点门禁、早六点半开门,"{""lat"": 23.5265, ""lng"": 113.7265}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
西学楼7号,宿舍,用于学生住宿，内部生活设施齐全，23点门禁、早六点半开门,"{""lat"": 23.5260, ""lng"": 113.7260}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
西学楼8号,宿舍,学生居住的宿舍楼，有住宿床位和配套设施，23点门禁、早六点半开门,"{""lat"": 23.5255, ""lng"": 113.7255}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
西学楼9号,宿舍,为学生提供住宿空间，保障居住生活，23点门禁、早六点半开门,"{""lat"": 23.5250, ""lng"": 113.7250}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
西学楼10号,宿舍,学生住宿区域，具备基本生活设施，23点门禁、早六点半开门,"{""lat"": 23.5245, ""lng"": 113.7245}",校园西区,24小时开放（住宿使用，23:00 - 6:30 门禁限制出入 ）
教学楼主楼7,教学楼,开展教学活动，涵盖多学科教学，有教室、研讨空间，支持课程开展,"{""lat"": 23.5240, ""lng"": 113.7240}",校园相应区域,7:00 - 22:00 
教学楼主楼8,教学楼,承担教学任务，配备教学设备，满足不同课程教学场景需求,"{""lat"": 23.5235, ""lng"": 113.7235}",校园相应区域,7:00 - 22:00 
教学楼主楼9,教学楼,为教学提供场地，有多样化教室布局，适配理论与实践教学,"{""lat"": 23.5230, ""lng"": 113.7230}",校园相应区域,7:00 - 22:00 
教学楼主楼10,教学楼,用于课程教学，具备完善教学设施，助力知识传授与学习,"{""lat"": 23.5225, ""lng"": 113.7225}",校园相应区域,7:00 - 22:00 
校医室,医务室,为师生提供基本医疗服务，处理常见疾病、伤痛，开展健康咨询等,"{""lat"": 23.5220, ""lng"": 113.7220}",校园相应区域,8:00 - 17:30（工作日，依学校实际调整 ） 
校园湖,景观水域,校园内景观水体，营造生态环境，兼具景观观赏、调节校园小气候功能,"{""lat"": 23.5215, ""lng"": 113.7215}",校园相应区域,24小时开放（景观用途 ） 
